"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EMP","TOT","PC_WKGPOP","A","2008",73.20431,
"AUS","EMP","TOT","PC_WKGPOP","A","2009",72.05107,
"AUS","EMP","TOT","PC_WKGPOP","A","2010",72.37024,
"AUS","EMP","TOT","PC_WKGPOP","A","2011",72.65694,
"AUS","EMP","TOT","PC_WKGPOP","A","2012",72.34558,
"AUS","EMP","TOT","PC_WKGPOP","A","2013",71.97044,
"AUS","EMP","TOT","PC_WKGPOP","A","2014",71.56635,
"AUS","EMP","TOT","PC_WKGPOP","A","2015",72.15796,
"AUS","EMP","TOT","PC_WKGPOP","A","2016",72.43109,
"AUS","EMP","TOT","PC_WKGPOP","A","2017",72.98743,
"AUS","EMP","TOT","PC_WKGPOP","A","2018",73.75635,
"AUS","EMP","TOT","PC_WKGPOP","A","2019",74.30949,
"AUT","EMP","TOT","PC_WKGPOP","A","2008",70.825,
"AUT","EMP","TOT","PC_WKGPOP","A","2009",70.325,
"AUT","EMP","TOT","PC_WKGPOP","A","2010",70.775,
"AUT","EMP","TOT","PC_WKGPOP","A","2011",71.1,
"AUT","EMP","TOT","PC_WKGPOP","A","2012",71.425,
"AUT","EMP","TOT","PC_WKGPOP","A","2013",71.4,
"AUT","EMP","TOT","PC_WKGPOP","A","2014",71.075,
"AUT","EMP","TOT","PC_WKGPOP","A","2015",71.1,
"AUT","EMP","TOT","PC_WKGPOP","A","2016",71.55,
"AUT","EMP","TOT","PC_WKGPOP","A","2017",72.2,
"AUT","EMP","TOT","PC_WKGPOP","A","2018",73.025,
"AUT","EMP","TOT","PC_WKGPOP","A","2019",73.525,
"BEL","EMP","TOT","PC_WKGPOP","A","2008",62.4,"B"
"BEL","EMP","TOT","PC_WKGPOP","A","2009",61.6,
"BEL","EMP","TOT","PC_WKGPOP","A","2010",62.025,
"BEL","EMP","TOT","PC_WKGPOP","A","2011",61.925,
"BEL","EMP","TOT","PC_WKGPOP","A","2012",61.825,
"BEL","EMP","TOT","PC_WKGPOP","A","2013",61.8,
"BEL","EMP","TOT","PC_WKGPOP","A","2014",61.9,
"BEL","EMP","TOT","PC_WKGPOP","A","2015",61.8,
"BEL","EMP","TOT","PC_WKGPOP","A","2016",62.3,"B"
"BEL","EMP","TOT","PC_WKGPOP","A","2017",63.125,
"BEL","EMP","TOT","PC_WKGPOP","A","2018",64.45,
"BEL","EMP","TOT","PC_WKGPOP","A","2019",65.3,
"CAN","EMP","TOT","PC_WKGPOP","A","2008",73.45834,
"CAN","EMP","TOT","PC_WKGPOP","A","2009",71.50833,
"CAN","EMP","TOT","PC_WKGPOP","A","2010",71.55833,
"CAN","EMP","TOT","PC_WKGPOP","A","2011",71.975,
"CAN","EMP","TOT","PC_WKGPOP","A","2012",72.31667,
"CAN","EMP","TOT","PC_WKGPOP","A","2013",72.71667,
"CAN","EMP","TOT","PC_WKGPOP","A","2014",72.5,
"CAN","EMP","TOT","PC_WKGPOP","A","2015",72.74167,
"CAN","EMP","TOT","PC_WKGPOP","A","2016",72.675,
"CAN","EMP","TOT","PC_WKGPOP","A","2017",73.56667,
"CAN","EMP","TOT","PC_WKGPOP","A","2018",74.025,
"CAN","EMP","TOT","PC_WKGPOP","A","2019",74.6,
"CZE","EMP","TOT","PC_WKGPOP","A","2008",66.55,
"CZE","EMP","TOT","PC_WKGPOP","A","2009",65.375,
"CZE","EMP","TOT","PC_WKGPOP","A","2010",64.975,"B"
"CZE","EMP","TOT","PC_WKGPOP","A","2011",65.725,
"CZE","EMP","TOT","PC_WKGPOP","A","2012",66.55,
"CZE","EMP","TOT","PC_WKGPOP","A","2013",67.725,
"CZE","EMP","TOT","PC_WKGPOP","A","2014",68.975,
"CZE","EMP","TOT","PC_WKGPOP","A","2015",70.225,
"CZE","EMP","TOT","PC_WKGPOP","A","2016",71.95,
"CZE","EMP","TOT","PC_WKGPOP","A","2017",73.625,
"CZE","EMP","TOT","PC_WKGPOP","A","2018",74.825,
"CZE","EMP","TOT","PC_WKGPOP","A","2019",75.125,
"DNK","EMP","TOT","PC_WKGPOP","A","2008",76.325,
"DNK","EMP","TOT","PC_WKGPOP","A","2009",73.525,
"DNK","EMP","TOT","PC_WKGPOP","A","2010",71.8,
"DNK","EMP","TOT","PC_WKGPOP","A","2011",71.625,
"DNK","EMP","TOT","PC_WKGPOP","A","2012",71.025,
"DNK","EMP","TOT","PC_WKGPOP","A","2013",70.775,
"DNK","EMP","TOT","PC_WKGPOP","A","2014",71.1,
"DNK","EMP","TOT","PC_WKGPOP","A","2015",71.975,"B"
"DNK","EMP","TOT","PC_WKGPOP","A","2016",72.675,"B"
"DNK","EMP","TOT","PC_WKGPOP","A","2017",73.225,
"DNK","EMP","TOT","PC_WKGPOP","A","2018",74.125,
"DNK","EMP","TOT","PC_WKGPOP","A","2019",75,
"FIN","EMP","TOT","PC_WKGPOP","A","2008",71.05,"B"
"FIN","EMP","TOT","PC_WKGPOP","A","2009",67.9,
"FIN","EMP","TOT","PC_WKGPOP","A","2010",67.15,
"FIN","EMP","TOT","PC_WKGPOP","A","2011",68,
"FIN","EMP","TOT","PC_WKGPOP","A","2012",68.45,
"FIN","EMP","TOT","PC_WKGPOP","A","2013",68.075,
"FIN","EMP","TOT","PC_WKGPOP","A","2014",67.95,
"FIN","EMP","TOT","PC_WKGPOP","A","2015",67.55,
"FIN","EMP","TOT","PC_WKGPOP","A","2016",68.225,
"FIN","EMP","TOT","PC_WKGPOP","A","2017",69.075,
"FIN","EMP","TOT","PC_WKGPOP","A","2018",71.15,
"FIN","EMP","TOT","PC_WKGPOP","A","2019",72,
"FRA","EMP","TOT","PC_WKGPOP","A","2008",65.3,
"FRA","EMP","TOT","PC_WKGPOP","A","2009",64.425,
"FRA","EMP","TOT","PC_WKGPOP","A","2010",64.375,
"FRA","EMP","TOT","PC_WKGPOP","A","2011",64.3,
"FRA","EMP","TOT","PC_WKGPOP","A","2012",64.375,
"FRA","EMP","TOT","PC_WKGPOP","A","2013",64.375,
"FRA","EMP","TOT","PC_WKGPOP","A","2014",64.525,
"FRA","EMP","TOT","PC_WKGPOP","A","2015",64.7,
"FRA","EMP","TOT","PC_WKGPOP","A","2016",65,
"FRA","EMP","TOT","PC_WKGPOP","A","2017",65.55,
"FRA","EMP","TOT","PC_WKGPOP","A","2018",66.15,
"FRA","EMP","TOT","PC_WKGPOP","A","2019",66.375,
"DEU","EMP","TOT","PC_WKGPOP","A","2008",70.1,
"DEU","EMP","TOT","PC_WKGPOP","A","2009",69.375,"B"
"DEU","EMP","TOT","PC_WKGPOP","A","2010",70.3,"B"
"DEU","EMP","TOT","PC_WKGPOP","A","2011",71.775,
"DEU","EMP","TOT","PC_WKGPOP","A","2012",72.05,
"DEU","EMP","TOT","PC_WKGPOP","A","2013",72.525,
"DEU","EMP","TOT","PC_WKGPOP","A","2014",72.8,
"DEU","EMP","TOT","PC_WKGPOP","A","2015",73,
"DEU","EMP","TOT","PC_WKGPOP","A","2016",73.675,
"DEU","EMP","TOT","PC_WKGPOP","A","2017",74.25,
"DEU","EMP","TOT","PC_WKGPOP","A","2018",74.9,
"DEU","EMP","TOT","PC_WKGPOP","A","2019",75.65,"B"
"GRC","EMP","TOT","PC_WKGPOP","A","2008",61.425,"B"
"GRC","EMP","TOT","PC_WKGPOP","A","2009",60.675,
"GRC","EMP","TOT","PC_WKGPOP","A","2010",58.85,
"GRC","EMP","TOT","PC_WKGPOP","A","2011",54.85,
"GRC","EMP","TOT","PC_WKGPOP","A","2012",50.425,
"GRC","EMP","TOT","PC_WKGPOP","A","2013",48.475,
"GRC","EMP","TOT","PC_WKGPOP","A","2014",49.225,
"GRC","EMP","TOT","PC_WKGPOP","A","2015",50.7,
"GRC","EMP","TOT","PC_WKGPOP","A","2016",51.775,
"GRC","EMP","TOT","PC_WKGPOP","A","2017",53.225,
"GRC","EMP","TOT","PC_WKGPOP","A","2018",54.525,
"GRC","EMP","TOT","PC_WKGPOP","A","2019",56.125,
"HUN","EMP","TOT","PC_WKGPOP","A","2008",56.4,
"HUN","EMP","TOT","PC_WKGPOP","A","2009",57.2,
"HUN","EMP","TOT","PC_WKGPOP","A","2010",57.05,
"HUN","EMP","TOT","PC_WKGPOP","A","2011",57.55,
"HUN","EMP","TOT","PC_WKGPOP","A","2012",58.625,
"HUN","EMP","TOT","PC_WKGPOP","A","2013",60.125,
"HUN","EMP","TOT","PC_WKGPOP","A","2014",63.65,
"HUN","EMP","TOT","PC_WKGPOP","A","2015",65.85,
"HUN","EMP","TOT","PC_WKGPOP","A","2016",68.525,
"HUN","EMP","TOT","PC_WKGPOP","A","2017",70.175,
"HUN","EMP","TOT","PC_WKGPOP","A","2018",71.4,
"HUN","EMP","TOT","PC_WKGPOP","A","2019",72.225,
"ISL","EMP","TOT","PC_WKGPOP","A","2008",83.575,
"ISL","EMP","TOT","PC_WKGPOP","A","2009",78.325,
"ISL","EMP","TOT","PC_WKGPOP","A","2010",78.175,
"ISL","EMP","TOT","PC_WKGPOP","A","2011",78.475,
"ISL","EMP","TOT","PC_WKGPOP","A","2012",79.675,
"ISL","EMP","TOT","PC_WKGPOP","A","2013",81.1,
"ISL","EMP","TOT","PC_WKGPOP","A","2014",82.95,
"ISL","EMP","TOT","PC_WKGPOP","A","2015",84.725,
"ISL","EMP","TOT","PC_WKGPOP","A","2016",86.525,
"ISL","EMP","TOT","PC_WKGPOP","A","2017",86.1,
"ISL","EMP","TOT","PC_WKGPOP","A","2018",85.075,
"ISL","EMP","TOT","PC_WKGPOP","A","2019",84.1,
"IRL","EMP","TOT","PC_WKGPOP","A","2008",69.65,"B"
"IRL","EMP","TOT","PC_WKGPOP","A","2009",63.625,
"IRL","EMP","TOT","PC_WKGPOP","A","2010",60.95,
"IRL","EMP","TOT","PC_WKGPOP","A","2011",60.025,
"IRL","EMP","TOT","PC_WKGPOP","A","2012",59.9,
"IRL","EMP","TOT","PC_WKGPOP","A","2013",61.75,
"IRL","EMP","TOT","PC_WKGPOP","A","2014",63.125,
"IRL","EMP","TOT","PC_WKGPOP","A","2015",64.7,
"IRL","EMP","TOT","PC_WKGPOP","A","2016",66.425,
"IRL","EMP","TOT","PC_WKGPOP","A","2017",67.575,
"IRL","EMP","TOT","PC_WKGPOP","A","2018",68.475,
"IRL","EMP","TOT","PC_WKGPOP","A","2019",69.45,
"ITA","EMP","TOT","PC_WKGPOP","A","2008",58.65,"B"
"ITA","EMP","TOT","PC_WKGPOP","A","2009",56.9,
"ITA","EMP","TOT","PC_WKGPOP","A","2010",56.25,
"ITA","EMP","TOT","PC_WKGPOP","A","2011",56.35,
"ITA","EMP","TOT","PC_WKGPOP","A","2012",56.075,
"ITA","EMP","TOT","PC_WKGPOP","A","2013",54.95,
"ITA","EMP","TOT","PC_WKGPOP","A","2014",55.275,
"ITA","EMP","TOT","PC_WKGPOP","A","2015",56.025,
"ITA","EMP","TOT","PC_WKGPOP","A","2016",57.05,
"ITA","EMP","TOT","PC_WKGPOP","A","2017",57.875,
"ITA","EMP","TOT","PC_WKGPOP","A","2018",58.5,
"ITA","EMP","TOT","PC_WKGPOP","A","2019",59.05,
"JPN","EMP","TOT","PC_WKGPOP","A","2008",70.8734,
"JPN","EMP","TOT","PC_WKGPOP","A","2009",70.17559,
"JPN","EMP","TOT","PC_WKGPOP","A","2010",70.28754,
"JPN","EMP","TOT","PC_WKGPOP","A","2011",70.82615,"B"
"JPN","EMP","TOT","PC_WKGPOP","A","2012",70.61858,
"JPN","EMP","TOT","PC_WKGPOP","A","2013",71.7585,
"JPN","EMP","TOT","PC_WKGPOP","A","2014",72.7607,
"JPN","EMP","TOT","PC_WKGPOP","A","2015",73.3971,
"JPN","EMP","TOT","PC_WKGPOP","A","2016",74.52277,
"JPN","EMP","TOT","PC_WKGPOP","A","2017",75.50069,
"JPN","EMP","TOT","PC_WKGPOP","A","2018",77.1633,
"JPN","EMP","TOT","PC_WKGPOP","A","2019",78.11421,
"KOR","EMP","TOT","PC_WKGPOP","A","2008",63.9557,
"KOR","EMP","TOT","PC_WKGPOP","A","2009",63.0171,
"KOR","EMP","TOT","PC_WKGPOP","A","2010",63.38788,
"KOR","EMP","TOT","PC_WKGPOP","A","2011",63.91484,
"KOR","EMP","TOT","PC_WKGPOP","A","2012",64.34369,
"KOR","EMP","TOT","PC_WKGPOP","A","2013",64.62727,
"KOR","EMP","TOT","PC_WKGPOP","A","2014",65.56622,
"KOR","EMP","TOT","PC_WKGPOP","A","2015",65.90981,
"KOR","EMP","TOT","PC_WKGPOP","A","2016",66.07566,
"KOR","EMP","TOT","PC_WKGPOP","A","2017",66.62926,
"KOR","EMP","TOT","PC_WKGPOP","A","2018",66.61324,
"KOR","EMP","TOT","PC_WKGPOP","A","2019",66.82268,
"LUX","EMP","TOT","PC_WKGPOP","A","2008",63.425,"B"
"LUX","EMP","TOT","PC_WKGPOP","A","2009",65.2,
