"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","IMMIGINFLOW","TOT","NBR","A","2008",205938.935,
"AUS","IMMIGINFLOW","TOT","NBR","A","2009",220981,
"AUS","IMMIGINFLOW","TOT","NBR","A","2010",208489,
"AUS","IMMIGINFLOW","TOT","NBR","A","2011",219478,
"AUS","IMMIGINFLOW","TOT","NBR","A","2012",245080,
"AUS","IMMIGINFLOW","TOT","NBR","A","2013",254411,
"AUS","IMMIGINFLOW","TOT","NBR","A","2014",231042,
"AUS","IMMIGINFLOW","TOT","NBR","A","2015",226218,
"AUS","IMMIGINFLOW","TOT","NBR","A","2016",226986,
"AUS","IMMIGINFLOW","TOT","NBR","A","2017",218128,
"AUS","IMMIGINFLOW","TOT","NBR","A","2018",191448,
"AUS","IMMIGINFLOW","TOT","NBR","A","2019",192991.051,
"AUT","IMMIGINFLOW","TOT","NBR","A","2008",49529,
"AUT","IMMIGINFLOW","TOT","NBR","A","2009",45689,
"AUT","IMMIGINFLOW","TOT","NBR","A","2010",45914,
"AUT","IMMIGINFLOW","TOT","NBR","A","2011",55197,
"AUT","IMMIGINFLOW","TOT","NBR","A","2012",70815,
"AUT","IMMIGINFLOW","TOT","NBR","A","2013",70753,
"AUT","IMMIGINFLOW","TOT","NBR","A","2014",80870,
"AUT","IMMIGINFLOW","TOT","NBR","A","2015",102967,
"AUT","IMMIGINFLOW","TOT","NBR","A","2016",105652,
"AUT","IMMIGINFLOW","TOT","NBR","A","2017",98562,
"AUT","IMMIGINFLOW","TOT","NBR","A","2018",87135,
"AUT","IMMIGINFLOW","TOT","NBR","A","2019",81931,
"BEL","IMMIGINFLOW","TOT","NBR","A","2008",94911,
"BEL","IMMIGINFLOW","TOT","NBR","A","2009",104617,
"BEL","IMMIGINFLOW","TOT","NBR","A","2010",116993,
"BEL","IMMIGINFLOW","TOT","NBR","A","2011",100943,
"BEL","IMMIGINFLOW","TOT","NBR","A","2012",100078,
"BEL","IMMIGINFLOW","TOT","NBR","A","2013",95617,
"BEL","IMMIGINFLOW","TOT","NBR","A","2014",100479.265,
"BEL","IMMIGINFLOW","TOT","NBR","A","2015",103794.784,
"BEL","IMMIGINFLOW","TOT","NBR","A","2016",106156.302,
"BEL","IMMIGINFLOW","TOT","NBR","A","2017",107676.38,
"BEL","IMMIGINFLOW","TOT","NBR","A","2018",109223.024,
"BEL","IMMIGINFLOW","TOT","NBR","A","2019",113249,
"CAN","IMMIGINFLOW","TOT","NBR","A","2008",248130,
"CAN","IMMIGINFLOW","TOT","NBR","A","2009",253101,
"CAN","IMMIGINFLOW","TOT","NBR","A","2010",281262,
"CAN","IMMIGINFLOW","TOT","NBR","A","2011",249292,
"CAN","IMMIGINFLOW","TOT","NBR","A","2012",258347,
"CAN","IMMIGINFLOW","TOT","NBR","A","2013",262773,
"CAN","IMMIGINFLOW","TOT","NBR","A","2014",261377,
"CAN","IMMIGINFLOW","TOT","NBR","A","2015",275852,
"CAN","IMMIGINFLOW","TOT","NBR","A","2016",296740,
"CAN","IMMIGINFLOW","TOT","NBR","A","2017",286447,
"CAN","IMMIGINFLOW","TOT","NBR","A","2018",321042,
"CAN","IMMIGINFLOW","TOT","NBR","A","2019",341173,
"CZE","IMMIGINFLOW","TOT","NBR","A","2008",71819.4,
"CZE","IMMIGINFLOW","TOT","NBR","A","2009",38973,
"CZE","IMMIGINFLOW","TOT","NBR","A","2010",30515,
"CZE","IMMIGINFLOW","TOT","NBR","A","2011",22590,
"DNK","IMMIGINFLOW","TOT","NBR","A","2008",40197,
"DNK","IMMIGINFLOW","TOT","NBR","A","2009",32044,
