Country,Year,Permanent_Inflows
AUS,2008,205938.935
AUS,2009,220981
AUS,2010,208489
AUS,2011,219478
AUS,2012,245080
AUS,2013,254411
AUS,2014,231042
AUS,2015,226218
AUS,2016,226986
AUS,2017,218128
AUS,2018,191448
AUS,2019,192991.051
CAN,2008,248130
CAN,2009,253101
CAN,2010,281262
CAN,2011,249292
CAN,2012,258347
CAN,2013,262773
CAN,2014,261377
CAN,2015,275852
CAN,2016,296740
CAN,2017,286447
CAN,2018,321042
CAN,2019,341173
FRA,2008,213105.229
FRA,2009,209623.75
FRA,2010,220429.573
FRA,2011,226555.178
FRA,2012,244548.256
FRA,2013,254447.536
FRA,2014,250741.768
FRA,2015,255381
FRA,2016,258767
FRA,2017,259919
FRA,2018,280876
FRA,2019,290578
DEU,2008,228329
DEU,2009,201452.108
DEU,2010,222466.509
DEU,2011,290791.023
DEU,2012,400197
DEU,2013,468822.938
DEU,2014,574788.091
DEU,2015,686451.066
DEU,2016,1054034.639
DEU,2017,860955.036
DEU,2018,633515.843
DEU,2019,608931.821
ITA,2008,440234
ITA,2009,354740
ITA,2010,445311
ITA,2011,375287
ITA,2012,308097
ITA,2013,278686
ITA,2014,241814
ITA,2015,221628
ITA,2016,212094
ITA,2017,216920
ITA,2018,224589
ITA,2019,191269.158
JPN,2008,97739
JPN,2009,65490
JPN,2010,55675
JPN,2011,59111
JPN,2012,66375
JPN,2013,57317
JPN,2014,63920
JPN,2015,81825
JPN,2016,95196
JPN,2017,100555
JPN,2018,116386
JPN,2019,137823.744
GBR,2008,358149
GBR,2009,395076
GBR,2010,448702
GBR,2011,339796
GBR,2012,286985
GBR,2013,295144
GBR,2014,350030
GBR,2015,369879
GBR,2016,351043
GBR,2017,342174
GBR,2018,342828
GBR,2019,345651
USA,2008,1107126
USA,2009,1130231
USA,2010,1043259
USA,2011,1062352
USA,2012,1031907
USA,2013,990753
USA,2014,1017255
USA,2015,1051031
USA,2016,1183505
USA,2017,1127167
USA,2018,1096611
USA,2019,1030990
